Percentage,Horizon,Mean,Std. Dev,Max,Min,List
10,500,37.80444379308964,11.394034820691314,60.00833275470999,29.0,"[36.013886210738214, 30.0, 29.0, 34.0, 60.00833275470999]"
10,1000,51.43011679329474,23.580565867426973,108.01851693112621,29.0,"[36.013886210738214, 30.0, 29.0, 34.0, 60.00833275470999, 31.04834939252005, 65.00769185258002, 63.12685640834652, 58.077534382926416, 108.01851693112621]"
10,1500,68.2493557830909,30.633730350596817,108.01851693112621,29.0,"[36.013886210738214, 30.0, 29.0, 34.0, 60.00833275470999, 31.04834939252005, 65.00769185258002, 63.12685640834652, 58.077534382926416, 108.01851693112621, 98.00510190801293, 103.0, 102.04410811016969, 101.00495037373169, 105.38500842150178]"
10,2000,76.70569428916876,30.3461111778195,108.01851693112621,29.0,"[36.013886210738214, 30.0, 29.0, 34.0, 60.00833275470999, 31.04834939252005, 65.00769185258002, 63.12685640834652, 58.077534382926416, 108.01851693112621, 98.00510190801293, 103.0, 102.04410811016969, 101.00495037373169, 105.38500842150178, 104.17293314484334, 101.0, 98.04590761474952, 107.07474025184464, 100.07996802557443]"
10,500,0.9299865492947197,0.016882213451936627,0.9535504057446613,0.9091760444395277,"[0.9535504057446613, 0.9438580035628018, 0.914390469971453, 0.9289578227551547, 0.9091760444395277]"
10,1000,0.9130964797034309,0.02099783152558306,0.9535504057446613,0.8918378469789756,"[0.9535504057446613, 0.9438580035628018, 0.914390469971453, 0.9289578227551547, 0.9091760444395277, 0.9059892880875671, 0.892519623729535, 0.8918378469789756, 0.8944983982447079, 0.896186893519925]"
10,1500,0.9015470743959754,0.02439457185266779,0.9535504057446613,0.8601856924876667,"[0.9535504057446613, 0.9438580035628018, 0.914390469971453, 0.9289578227551547, 0.9091760444395277, 0.9059892880875671, 0.892519623729535, 0.8918378469789756, 0.8944983982447079, 0.896186893519925, 0.888992321707615, 0.8867692759804726, 0.8772651279120075, 0.8601856924876667, 0.879028900817559]"
10,2000,0.8916950126603128,0.027212441570369013,0.9535504057446613,0.857540608978959,"[0.9535504057446613, 0.9438580035628018, 0.914390469971453, 0.9289578227551547, 0.9091760444395277, 0.9059892880875671, 0.892519623729535, 0.8918378469789756, 0.8944983982447079, 0.896186893519925, 0.888992321707615, 0.8867692759804726, 0.8772651279120075, 0.8601856924876667, 0.879028900817559, 0.8636559655402085, 0.8649450471671555, 0.8584836798211438, 0.8660688357591573, 0.857540608978959]"
10,500,0.9299865492947197,0.016882213451936627,0.9535504057446613,0.9091760444395277,"[0.9535504057446613, 0.9438580035628018, 0.914390469971453, 0.9289578227551547, 0.9091760444395277]"
10,1000,0.9130964797034309,0.02099783152558306,0.9535504057446613,0.8918378469789756,"[0.9535504057446613, 0.9438580035628018, 0.914390469971453, 0.9289578227551547, 0.9091760444395277, 0.9059892880875671, 0.892519623729535, 0.8918378469789756, 0.8944983982447079, 0.896186893519925]"
10,1500,0.9015470743959754,0.02439457185266779,0.9535504057446613,0.8601856924876667,"[0.9535504057446613, 0.9438580035628018, 0.914390469971453, 0.9289578227551547, 0.9091760444395277, 0.9059892880875671, 0.892519623729535, 0.8918378469789756, 0.8944983982447079, 0.896186893519925, 0.888992321707615, 0.8867692759804726, 0.8772651279120075, 0.8601856924876667, 0.879028900817559]"
10,2000,0.8916950126603128,0.027212441570369013,0.9535504057446613,0.857540608978959,"[0.9535504057446613, 0.9438580035628018, 0.914390469971453, 0.9289578227551547, 0.9091760444395277, 0.9059892880875671, 0.892519623729535, 0.8918378469789756, 0.8944983982447079, 0.896186893519925, 0.888992321707615, 0.8867692759804726, 0.8772651279120075, 0.8601856924876667, 0.879028900817559, 0.8636559655402085, 0.8649450471671555, 0.8584836798211438, 0.8660688357591573, 0.857540608978959]"
